YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1982,GRD,,,43.1,60.5,,140.5,0
1982,GRD,,,45.06,59.75,,138.5,0
1982,GRD,,,45,60.5,,137.75,0
1982,GRD,,,49.26,59.5,,139.5,0
1982,GRD,,,43.01,60.08,,139.75,0
1982,GRD,,,46.83,60.25,,140,0
1982,GRD,,,41.45,59.75,,138,0
1982,GRD,,,44.08,59.75,,139.5,0
1982,GRI,,,72.76,58,,144.5,0
1982,GRI,,,72.64,58.5,,144.5,0
1982,GRI,,,66.43,58.06,,145.54,0
1982,GRI,,,70.92,57.75,,142,0
1982,GRI,,,62.59,58,,145.5,0
1982,GRI,,,56.37,58.5,,148,0
1982,GRI,,,66.83,58.5,,146.5,0
1982,GRI,,,60.47,58,,145,0
1982,GRI,,,76.95,56.25,,145,0
1982,GRI,,,68.78,57.5,,148,0
1982,GRI,,,66.58,58.25,,143.5,0
1982,GRI,,,57.48,57.5,,148,0
1982,GRI,,,67.98,57.75,,143,0
1982,GRI,,,64.36,58.25,,146,0
1982,GRI,,,66.87,58,,146,0
1982,GRI,,,67.92,58.5,,144,0
1982,GRI,,,73.63,58.75,,145,0
1982,GRI,,,62.17,58.75,,144,0
1982,GRI,,,62.88,58.25,,144.5,0
1982,GRI,,,68.71,58,,144,0
1982,GRI,,,67.7,56.75,,148,0
1982,GRI,,,67.71,58,,145.5,0
1982,GRI,,,72.11,58.5,,147.5,0
1982,GRI,,,73.11,58.5,,145.5,0
1982,GRI,,,62.84,58.5,,146,0
1982,GRI,,,65.57,58,,148,0
1982,GRI,,,58.32,58.5,,144,0
1982,GRI,,,59.35,57.75,,148,0
1982,HVD,,,27.44,55.88,,134.5,29.5
1982,HVD,,,30.28,55.5,,138.75,36.75
1982,HVD,,,19.58,54,,134.25,27
1982,HVD,,,18.54,49.63,,136,31.75
1982,HVD,,,24.95,54.67,,136.63,32.67
1982,HVD,,,20.81,53.13,,137.5,33
1982,HVD,,,26.61,55.38,,138,34.75
1982,HVD,,,19.25,52.63,,136.5,30.5
1982,HVD,,,24.38,53.63,,133.75,31
1982,HVD,,,23.32,54.13,,139,37
1982,HVD,,,26.61,55.13,,133.75,31.75
1982,HVD,,,19.48,52.25,,139.75,31
1982,HVD,,,27.49,58.38,,131.5,33.25
1982,HVD,,,28.13,55.88,,139.5,35.25
1982,HVD,,,29.04,53.75,,135.75,32
1982,HVD,,,23.8,53.88,,133.5,29.25
1982,HVD,,,23.87,57.13,,139.5,33.5
1982,HVD,,,31.24,57.75,,133.5,28
1982,HVD,,,25.66,55.5,,138,39.75
1982,HVD,,,27.73,55.75,,139.5,34.25
1982,HVD,,,24.89,53.5,,138.75,35
1982,HVD,,,26.72,55.63,,137.75,37.25
1982,HVD,,,27.85,54.88,,135,27
1982,HVD,,,21.11,54.25,,138.5,33
1982,LBD,,,38.43,50.5,,133,31.5
1982,LBD,,,37.26,53.75,,124,25.5
1982,LBD,,,35.93,56.75,,124,26.5
1982,LBD,,,44.89,55.5,,128,27.25
1982,LBD,,,48.26,54.25,,134,34.75
1982,LBD,,,38.8,56.25,,127,25.75
1982,LBD,,,43.84,54.25,,134,33.25
1982,LBD,,,41.41,50.75,,130,31.25
1982,LBD,,,44.68,54.5,,130.46,31.02
1982,LBD,,,44.29,57.5,,130,32.5
1982,LBD,,,47.42,54.5,,133,35.25
1982,LBD,,,49.24,56.5,,128,29.25
1982,LBD,,,37.34,52.25,,128,26
1982,LBD,,,44.03,53,,133,31.25
1982,LBD,,,49.21,54.75,,133,32
1982,LBD,,,47.02,54,,131,30.75
1982,LBD,,,50.3,50.25,,132,30.75
1982,LBD,,,41.89,58.5,,126,34
1982,LBD,,,53.16,55,,131,32.5
1982,LBD,,,44.27,56,,133,37
1982,LBD,,,49.63,57.5,,133,35
1982,LBD,,,49.25,58,,128,26.5
1982,LBD,,,45.99,55.25,,134,32.5
1982,LBD,,,45.16,49.75,,132,32
1982,LBD,,,45.39,53.25,,132,31.5
1982,RLD,,,55.21,57,,137.02,34.56
1982,RLD,,,59.18,57,,135,33.5
1982,RLD,,,64.76,59.6,,137,34.75
1982,RLD,,,37.44,56.5,,131.5,28.25
1982,RLD,,,61.3,56.8,,136,34
1982,RLD,,,42.3,56.1,,133.25,31.75
1982,RLD,,,61.13,56.3,,138.25,39.75
1982,RLD,,,41.22,56.1,,135,31.75
1982,RLD,,,53.35,56.9,,137.5,36.5
1982,RLD,,,57.09,58.6,,136,32.75
1982,RLD,,,48.44,56.1,,139,38
1982,RLD,,,73.37,58.2,,137.5,36.25
1982,RLD,,,40.99,56.5,,138.5,38.5
1982,RLD,,,60.43,57.3,,138.25,40.25
1982,RLD,,,56.29,55.2,,137,34.25
1982,RLD,,,67.59,58.4,,137.5,37
1982,RLD,,,49.15,58.7,,138.25,36.5
1982,RLD,,,55.87,55.6,,138,35.25
