YEAR,LOC,COUNTY,CITY,LOCATION
2002,CRDS,CRAWFORD,Pittsburg,4-State Farm Show (CS)
2002,FND,FINNEY,Garden City,SW Res-Ext Ctr (FD)
2002,RPD,REPUBLIC,Belleville,NC KS Experiment Field (RP)
2002,BRD,BROWN,Everest,Bunck Seed Farms (BR)
2002,STD,STAFFORD,St. John,Sandyland Expt Field (SD)
2002,STI,STAFFORD,St. John,Sandyland Expt Field (SI)
2002,SUD,SUMNER,Caldwell,Max Kolarik Farm (SU)
2002,LBD,LABETTE,Parsons,SE Agric Res Ctr (LB)
2002,THD,THOMAS,Colby,NW Res-Ext Ctr (TD)
2002,ELDF,ELLIS,Hays,Agric Res Ctr - Hays (EL)
2002,PHD,PHILLIPS,Phillipsburg,Farmer's Field (PH)
2002,JWD,JEWELL,Mankato,Farmer's Field (JW)
2003,RND,Reno,Hutchinson,SC KS Experiment Field
2003,FRD,Franklin,Ottawa,EC KS Experiment Field
2003,GRD,Greeley,Tribune,SW Res-Ext Ctr
2003,HVD,Harvey,Hesston,Harvey Co Expt Field
2003,LBD,Labette,Parsons,SE Agric Res Ctr
2003,RLD,Riley,Manhattan,Ashland Agronomy Farm
2003,RPD,Republic,Belleville,NC KS Experiment Field
2003,STD,Stafford,St. John,Sandyland Expt Field
2003,THD,Thomas,Colby,NW Res-Ext Ctr
2003,LBDS,Labette,Parsons,SE Agric Res Ctr
2003,FNI,Finney,Garden City,SW Res-Ext Ctr
2003,GRI,Greeley,Tribune,SW Res-Ext Ctr
2003,FRDS,Franklin,Ottawa,EC KS Experiment Field
2003,CRD,Crawford,Pittsburg,4-State Farm Show
2003,FDD,Ford,Dodge City,Farmer's Field
2003,PHD,Phillips,Phillipsburg,Farmer's Field
2003,CRDS,Crawford,Pittsburg,4-State Farm Show
2003,THI,Thomas,Colby,NW Res-Ext Ctr
2003,FND,Finney,Garden City,SW Res-Ext Ctr
2003,BRD,Brown,Everest,Bunck Seed Farms
2003,ELDF,Ellis,Hays,Agric Res Ctr - Hays
2003,SMD,Smith,Smith Center,Farmer's Field
2003,SUD,Sumner,Caldwell,Max Kolarik Farm
2004,SVI,Stevens,Hugoton,Jim Kramer Farm
2004,LBD,Labette,Parsons,SE Agric Res Ctr
2004,RPD,Republic,Belleville,NC KS Experiment Field
2004,GRI,Greeley,Tribune,SW Res-Ext Ctr
2004,SUD,Sumner,Caldwell,Max Kolarik Farm
2004,STDG,Stafford,St. John,Sandyland Expt Field
2004,FRD,Franklin,Ottawa,EC KS Experiment Field
2004,HVD,Harvey,Hesston,Harvey Co Expt Field
2004,STD,Stafford,St. John,Sandyland Expt Field
2004,THD,Thomas,Colby,NW Res-Ext Ctr
2004,FND,Finney,Garden City,SW Res-Ext Ctr
2004,ELDF,Ellis,Hays,Agric Res Ctr - Hays
2004,LBDS,Labette,Parsons,SE Agric Res Ctr
2004,CRD,Cherokee,Columbus,Farmer's field
2004,FDD,Ford,Dodge City,Farmer's Field
2004,PHD,Phillips,Phillipsburg,Farmer's Field
2004,SMD,Smith,Smith Center,Farmer's Field
2004,CRDS,Cherokee,Columbus,Farmer's field
2004,RND,Reno,Hutchinson,SC KS Experiment Field
2004,FNI,Finney,Garden City,SW Res-Ext Ctr
2005,HVD,Harvey,Hesston,Harvey Co Expt Field
2005,THD,Thomas,Colby,NW Res-Ext Ctr
2005,ELDF,Ellis,Hays,Agric Res Ctr - Hays
2005,GRI,Greeley,Tribune,SW Res-Ext Ctr
2005,FNI,Finney,Garden City,SW Res-Ext Ctr
2005,CDD,Cloud,Concordia,Farmer's field
2005,THI,Thomas,Colby,NW Res-Ext Ctr
2005,FRD,Franklin,Ottawa,EC KS Experiment Field
2005,FDD,Ford,Dodge City,Farmer's Field
2005,SMD,Smith,Smith Center,Farmer's Field
2005,RPD,Republic,Belleville,NC KS Experiment Field
2005,CRDS,Cherokee,Columbus,SE Agric Res Ctr
2005,LBD,Labette,Parsons,SE Agric Res Ctr
2005,LBDS,Labette,Parsons,SE Agric Res Ctr
2005,RLD,Riley,Manhattan,Ashland Agronomy Farm
2005,BRD,Brown,Everest,Bunck Seed Farms
2005,GRD,Greeley,Tribune,SW Res-Ext Ctr
2005,CRD,Cherokee,Columbus,SE Agric Res Ctr
2005,FND,Finney,Garden City,SW Res-Ext Ctr
2005,RND,Reno,Hutchinson,SC KS Experiment Field
2006,RNDH,Reno,Hutchinson,"South Central Kansas Experiment Field, Hutchinson"
2006,GRD,Greeley,Tribune,"Southwest Research-Extension Center, Tribune"
2006,THI,Thomas,Colby,"Northwest Research-Extension Center, Colby"
2006,FNI,Finney,Garden City,"Southwest Research-Extension Center, Garden City"
2006,PND,Pawnee,Larned,"Southwest, Ks Farmer's Field, Larned"
2006,THD,Thomas,Colby,"Northwest Research-Extension Center, Colby"
2006,ELDF,Ellis,Hays,"Agricultural Research Center, Hays"
2006,RND,Reno,Hutchinson,"South Central Kansas Experiment Field, Hutchinson"
2006,HVD,Harvey,Hesston,"Harvey County Experiment Field, Hesston"
2006,RLD,Riley,Manhattan,"Ashland Agronomy Farm, Manhattan"
2006,MTD,Mitchell,Beloit,"North Central, Ks Farmer's Field, Beloit"
2006,RPD,Republic,Belleville,"North Central Kansas Exp. Field, Belleville"
2006,CRDS,Cherokee,Columbus,Southeast Agricultural Res-Ext Center Columbus
2006,LBD,Labette,Parsons,"Southeast Agricultural Research Center, Parsons"
2006,CRD,Cherokee,Columbus,Southeast Agricultural Res-Ext Center Columbus
2006,LBDS,Labette,Parsons,"Southeast Agricultural Research Center, Parsons"
2006,FRD,Franklin,Ottawa,"East Central Kansas Experiment Field, Ottawa"
